pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
100,100,0.2,0.1,[9 2 0 1 6 3 4 8 7 5],8103.0,1.5156981945037842,25,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[0 5 4 3 8 2 1 9 6 7],8373.0,1.5559704303741455,3,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[8 7 4 2 9 1 5 0 3 6],5583.0,1.5071020126342773,23,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[5 2 1 4 7 0 8 3 6 9],5613.0,1.6645889282226562,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[9 6 8 5 0 2 1 4 7 3],4897.0,1.5486369132995605,41,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[8 2 5 7 4 1 3 0 9 6],4916.0,1.520104169845581,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[4 1 9 2 7 3 0 5 6 8],4800.0,1.5811548233032227,24,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 1 9 2 7 3 0 5 6 8],4800.0,1.5688700675964355,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[1 3 4 2 9 8 7 6 5 0],4883.0,1.5781195163726807,5,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[1 3 4 5 9 8 6 7 2 0],4796.0,1.5620267391204834,25,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[0 5 4 6 7 8 3 1 2 9],5331.0,1.5424976348876953,9,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[0 5 4 6 7 8 3 1 2 9],5331.0,1.5243635177612305,10,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[9 4 6 1 2 3 0 5 8 7],5940.0,1.5669317245483398,0,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 0 2 7 1 6 3 9 8 5],5734.0,1.5192346572875977,8,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 7 3 0 9 4 2 8 5 1],7065.0,1.4963781833648682,63,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[2 7 3 9 0 8 6 4 1 5],7073.0,1.489475965499878,14,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
