pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
100,100,0.2,0.1,[7 3 6 5 0 8 1 2 4 9],5032.0,1.6101229190826416,25,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 8 6 0 9 3 7 5 1 2],5152.0,1.5631935596466064,16,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[8 6 5 9 2 4 7 0 1 3],5859.0,1.564897060394287,18,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[8 6 3 1 0 9 7 4 2 5],6066.0,1.587554931640625,5,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 2 0 5 8 1 9 7 3 4],5046.0,1.5776419639587402,28,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[3 7 0 4 1 2 8 6 9 5],4932.0,1.5380873680114746,17,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 0 5 9 1 8 7 2 4 3],5863.0,1.5950555801391602,42,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[0 5 2 8 6 4 7 1 3 9],5807.0,1.530867099761963,44,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[0 4 6 3 1 9 5 2 8 7],5785.0,1.617126703262329,20,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[2 5 6 7 4 9 8 0 3 1],5672.0,1.5132532119750977,20,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[9 0 2 4 6 5 1 7 8 3],6038.0,1.792590856552124,9,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[0 8 1 4 6 3 2 7 9 5],5968.0,1.5321452617645264,20,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[0 2 3 4 7 1 6 8 5 9],6862.0,1.4684481620788574,15,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[9 8 6 2 0 7 1 5 4 3],6894.0,1.4647700786590576,35,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 4 8 1 0 2 5 7 3 9],6190.0,1.6623568534851074,29,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[8 4 0 7 1 2 6 3 9 5],6234.0,1.5281577110290527,22,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[0 5 8 3 4 7 6 1 2 9],5576.0,1.516606092453003,27,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 1 7 6 0 9 2 3 5 8],5605.0,1.6225581169128418,33,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 1 8 9 7 4 5 0 2 3],5730.0,1.5768835544586182,7,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 7 9 1 6 0 5 8 3 2],5708.0,1.5469183921813965,3,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[7 6 0 3 9 5 1 8 4 2],4309.0,1.5133605003356934,21,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[2 9 7 3 0 5 1 8 4 6],4204.0,1.5341641902923584,32,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[4 8 1 0 6 2 7 9 3 5],4396.0,1.5229055881500244,13,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[4 8 6 0 9 5 7 1 3 2],4346.0,1.5645251274108887,16,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
