pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s
150,50,4,0.1,[8 2 5 1 6 0 7 9 4 3],7290.0,0.030971050262451172
150,50,4,0.15,[5 3 8 2 0 1 4 6 7 9],7577.0,0.03160405158996582
150,100,1,0.05,[1 6 0 7 4 5 8 3 2 9],7252.0,0.047566890716552734
150,100,1,0.1,[1 5 2 0 6 4 7 9 8 3],7117.0,0.07036542892456055
150,100,1,0.15,[3 9 0 4 7 5 1 8 6 2],7481.0,0.04496288299560547
150,100,2,0.05,[9 8 6 3 2 1 7 5 0 4],7580.0,0.04153704643249512
150,100,2,0.1,[6 8 3 9 0 7 4 1 5 2],7461.0,0.04325246810913086
150,100,2,0.15,[6 4 8 7 0 2 1 3 5 9],7338.0,0.03789210319519043
150,100,4,0.05,[3 1 0 2 6 9 4 8 7 5],7328.0,0.04656505584716797
150,100,4,0.1,[7 1 8 5 6 0 4 3 2 9],7365.0,0.04750227928161621
150,100,4,0.15,[7 3 6 2 0 1 4 8 5 9],7395.0,0.04868197441101074
150,200,1,0.05,[4 1 9 3 5 8 6 2 7 0],7570.0,0.08017134666442871
150,200,1,0.1,[8 7 4 5 0 9 3 1 6 2],7436.0,0.07985520362854004
150,200,1,0.15,[3 5 2 0 7 4 9 6 8 1],7416.0,0.08275270462036133
150,200,2,0.05,[3 6 0 9 8 7 1 4 2 5],7430.0,0.0816957950592041
150,200,2,0.1,[9 1 6 3 8 0 5 2 7 4],7506.0,0.08178496360778809
150,200,2,0.15,[7 3 1 9 8 5 4 0 6 2],7563.0,0.08256912231445312
150,200,4,0.05,[4 2 7 3 6 1 5 9 8 0],7478.0,0.08232736587524414
150,200,4,0.1,[8 7 5 2 0 4 1 9 6 3],7666.0,0.0792992115020752
150,200,4,0.15,[3 7 0 8 2 6 9 5 4 1],7406.0,0.08205032348632812
