n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[7 2 6 3 0 1 4 8 9 5],6373.0,0.5558590888977051,24,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[0 2 4 9 8 5 1 6 3 7],6456.0,0.5267972946166992,13,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[1 0 8 2 9 4 3 6 7 5],5834.0,0.5299556255340576,28,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[5 0 2 3 4 9 7 8 1 6],5962.0,0.5266258716583252,12,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[3 1 9 2 0 7 6 4 5 8],5134.0,0.5271360874176025,44,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[2 8 6 9 0 4 7 1 5 3],5106.0,0.5409500598907471,11,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[8 1 4 3 0 2 5 9 7 6],6154.0,0.5507814884185791,1,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[8 3 9 0 7 1 4 5 6 2],6082.0,0.5315670967102051,17,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[2 1 8 9 5 4 0 7 3 6],5899.0,0.521432638168335,19,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[2 3 0 1 4 8 5 7 9 6],6206.0,0.5237846374511719,10,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[6 1 5 9 7 0 3 8 4 2],5988.0,0.5186660289764404,44,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[6 0 5 1 7 3 8 2 4 9],6060.0,0.525280237197876,20,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[4 3 6 5 9 1 0 7 8 2],6875.0,0.5307729244232178,45,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[4 3 6 5 9 1 0 7 8 2],6875.0,0.5410099029541016,30,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
