pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
100,100,0.2,0.1,[5 9 6 8 2 7 0 1 4 3],7544.0,1.5560789108276367,4,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[3 8 2 0 9 7 6 1 5 4],7790.0,1.6111667156219482,13,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[2 9 7 3 1 4 5 8 6 0],7712.0,1.5551769733428955,4,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[4 9 6 1 0 8 2 3 5 7],5854.0,1.4999632835388184,16,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[5 6 3 9 8 1 0 7 4 2],5876.0,1.527414083480835,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[2 1 9 6 7 3 4 8 0 5],8564.0,1.5504820346832275,25,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[5 2 6 9 1 7 4 0 3 8],8637.0,1.4847588539123535,15,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[2 3 4 5 6 7 0 9 8 1],8949.0,1.669118881225586,30,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[2 3 0 5 1 7 4 8 9 6],8997.0,1.7418010234832764,11,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[2 3 6 0 9 8 7 1 4 5],7087.0,1.5574676990509033,14,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[3 0 4 6 5 9 7 1 2 8],7080.0,1.59189772605896,4,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[5 4 2 0 3 6 7 9 1 8],5804.0,1.8062903881072998,6,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[2 4 0 3 9 7 1 6 5 8],6071.0,1.7130391597747803,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
