n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[4 6 2 5 3 0 1 8 7 9],5842.0,3.0398433208465576,31,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[4 3 9 8 7 1 6 2 0 5],5809.0,2.628872871398926,15,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[7 3 1 5 4 9 2 6 0 8],5854.0,2.9651498794555664,15,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[6 9 7 0 8 2 4 3 1 5],5172.0,2.76733660697937,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[6 8 7 0 9 1 5 3 2 4],5093.0,2.9841060638427734,23,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[6 8 2 4 1 5 0 3 7 9],5675.0,2.716160774230957,4,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[6 1 2 4 8 5 9 3 7 0],5670.0,3.1064791679382324,19,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[1 0 9 2 8 7 5 4 3 6],4762.0,2.624215841293335,4,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[7 6 9 3 0 4 5 1 8 2],4634.0,3.0499775409698486,94,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[7 5 8 2 4 9 1 6 0 3],7759.0,2.5935258865356445,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[8 3 0 2 1 6 5 7 4 9],7788.0,3.114236831665039,92,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[9 3 7 2 8 5 1 4 0 6],8125.0,2.6103432178497314,8,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[9 3 1 2 8 6 4 5 0 7],7995.0,3.030489206314087,71,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
