n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[3 6 2 8 1 9 0 4 5 7],4199.0,0.603102445602417,26,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[0 8 5 9 7 1 3 6 2 4],4327.0,0.6856145858764648,8,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[2 5 0 9 3 4 7 1 6 8],5774.0,0.5903835296630859,20,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[8 3 9 2 6 7 1 4 5 0],5708.0,0.6458275318145752,44,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[7 1 2 8 5 3 9 0 6 4],6034.0,0.5840084552764893,14,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[9 8 7 6 0 5 2 1 3 4],5901.0,0.6881811618804932,44,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[1 4 7 0 6 8 3 5 2 9],5878.0,0.5710556507110596,41,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[3 5 9 7 6 8 1 4 0 2],5968.0,0.6430454254150391,40,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[7 2 5 6 1 4 0 9 3 8],6624.0,0.5886588096618652,44,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[7 2 5 6 1 4 0 9 3 8],6624.0,0.6506214141845703,72,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[3 0 4 2 5 8 6 7 1 9],6229.0,0.5665814876556396,41,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[3 0 4 2 5 8 6 7 1 9],6229.0,0.6761171817779541,39,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[2 0 4 1 5 8 6 7 3 9],5810.0,0.5759928226470947,0,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[5 0 1 7 8 6 4 2 3 9],5508.0,0.6559021472930908,40,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[2 8 6 7 0 1 4 9 5 3],5299.0,0.5772545337677002,30,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[2 8 6 7 0 1 4 9 5 3],5299.0,0.6497657299041748,36,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[5 3 4 2 7 8 9 1 0 6],7350.0,0.5789449214935303,41,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[6 4 3 2 0 8 1 9 7 5],7293.0,0.6756935119628906,29,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[6 9 1 0 5 3 4 8 7 2],6561.0,0.5762181282043457,19,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[5 1 8 0 3 4 7 9 6 2],6520.0,0.6423494815826416,16,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[7 6 3 0 8 2 1 4 9 5],4808.0,0.5786693096160889,24,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[7 6 3 0 8 2 1 4 9 5],4808.0,0.6528475284576416,40,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[0 7 2 3 4 8 6 9 1 5],6313.0,0.5968012809753418,14,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[0 7 8 5 4 2 6 1 9 3],6242.0,0.6541478633880615,18,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[3 1 9 2 6 0 4 7 5 8],6363.0,0.5772538185119629,98,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[9 8 3 4 1 5 6 7 0 2],6413.0,0.6497776508331299,51,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[5 0 1 9 3 4 6 2 7 8],6557.0,0.573049783706665,73,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[9 0 7 3 5 2 1 4 6 8],6524.0,0.6563317775726318,62,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[3 9 6 4 5 8 2 7 0 1],6568.0,0.5982329845428467,27,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[5 9 6 4 1 8 2 7 0 3],6560.0,0.6702828407287598,46,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[1 4 7 9 8 5 3 2 0 6],8152.0,0.5731525421142578,41,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[1 4 9 6 2 5 8 0 3 7],7961.0,0.6460962295532227,66,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[2 8 7 0 6 4 3 1 9 5],6831.0,0.5752332210540771,49,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[7 3 2 5 9 1 8 4 6 0],6908.0,0.6746017932891846,42,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[4 8 0 6 1 3 2 9 5 7],7978.0,0.5983960628509521,36,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[5 8 2 6 7 9 4 3 0 1],7953.0,0.6506855487823486,51,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[7 5 2 6 4 8 0 9 1 3],5082.0,0.5871222019195557,34,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[7 6 8 5 0 9 4 3 1 2],5041.0,0.6616296768188477,56,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
10,100,100,0.2,0.1,[7 8 0 5 3 2 9 6 4 1],4936.0,0.6203396320343018,36,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
10,100,100,0.2,0.1,[4 5 0 7 9 2 3 6 8 1],4956.0,0.6515030860900879,45,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,mpx,swap
