n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[6 9 5 1 2 3 0 4 8 7],6555.0,0.6168673038482666,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[1 3 7 8 4 0 5 9 2 6],6652.0,0.5998134613037109,3,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[3 9 1 5 4 7 8 0 2 6],6128.0,0.5798499584197998,7,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[5 7 4 0 6 2 9 1 3 8],6190.0,0.5768249034881592,4,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[1 6 8 5 9 7 4 3 2 0],4738.0,0.588289737701416,7,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[3 6 8 5 0 7 4 1 2 9],4778.0,0.6121273040771484,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[1 8 4 2 5 9 0 7 6 3],6506.0,0.5670032501220703,35,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[3 5 9 4 1 2 6 7 0 8],6452.0,0.5726029872894287,18,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[8 6 9 5 7 1 3 0 2 4],4918.0,0.5692534446716309,38,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[8 6 4 5 9 1 3 0 7 2],4937.0,0.5761547088623047,55,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[8 0 7 9 3 2 6 1 5 4],6778.0,0.5761449337005615,12,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[8 9 2 0 7 3 6 1 5 4],6681.0,0.6148116588592529,15,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[4 1 7 9 3 2 0 5 6 8],7714.0,0.5801916122436523,8,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[0 1 7 9 3 2 4 5 6 8],7685.0,0.5674633979797363,52,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[1 3 8 9 4 6 7 5 2 0],7447.0,0.5777897834777832,14,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[7 3 8 1 6 4 2 5 9 0],7482.0,0.6022677421569824,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[6 2 9 7 8 1 0 5 3 4],4430.0,0.571162223815918,27,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[6 2 9 7 8 4 1 5 3 0],4369.0,0.5864427089691162,91,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[3 9 6 5 2 7 0 1 8 4],6539.0,0.5983514785766602,14,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[5 9 6 3 2 1 0 8 7 4],6474.0,0.5711641311645508,7,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[7 1 8 3 4 6 2 5 0 9],5019.0,0.5612759590148926,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[1 8 4 9 6 0 2 5 7 3],4995.0,0.5783092975616455,14,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[2 1 6 4 0 3 9 7 5 8],6792.0,0.5644960403442383,10,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[9 5 7 4 0 3 1 2 8 6],6879.0,0.5826568603515625,16,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[0 6 7 9 8 4 3 2 5 1],6612.0,0.6044509410858154,10,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[0 5 2 3 9 1 4 7 8 6],6760.0,0.5674104690551758,7,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[8 7 9 5 6 4 1 2 0 3],6093.0,0.5627923011779785,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[4 0 3 5 6 8 2 7 1 9],6200.0,0.5701999664306641,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[5 4 9 2 8 6 1 7 3 0],5123.0,0.5777847766876221,32,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[3 4 0 5 7 6 1 8 9 2],5132.0,0.5930197238922119,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[7 5 0 2 4 9 1 8 3 6],4147.0,0.5751078128814697,16,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[3 0 4 2 9 5 1 8 7 6],4179.0,0.5849535465240479,23,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[7 8 9 5 0 3 6 4 2 1],5194.0,0.5824556350708008,3,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[8 5 9 0 7 3 2 4 6 1],5169.0,0.5871455669403076,12,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[9 7 3 4 1 8 5 2 0 6],7971.0,0.58064866065979,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[0 1 4 9 5 3 2 6 8 7],8010.0,0.592914342880249,59,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[4 2 8 1 5 9 7 6 3 0],6797.0,0.5759031772613525,13,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[5 2 8 0 4 1 7 6 3 9],6935.0,0.5834255218505859,20,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
10,100,100,0.2,0.1,[7 1 3 0 9 6 2 5 8 4],7489.0,0.5706098079681396,6,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[7 4 3 0 9 6 1 2 8 5],7448.0,0.5822913646697998,66,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,roulette,cx,insertion
