pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
100,100,0.2,0.1,[8 1 3 5 6 4 9 0 7 2],5131.0,1.581984281539917,96,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[9 0 4 5 6 3 1 7 2 8],5081.0,1.9611008167266846,12,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
100,100,0.2,0.1,[2 6 5 3 9 0 8 1 7 4],5648.0,1.5268497467041016,6,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[7 4 6 8 3 5 1 9 2 0],5707.0,1.9488744735717773,8,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
100,100,0.2,0.1,[0 1 6 3 5 9 8 4 7 2],6188.0,1.493631362915039,23,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[1 0 8 5 7 3 6 9 2 4],6219.0,1.984431266784668,21,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
100,100,0.2,0.1,[5 9 8 3 1 4 7 6 2 0],7306.0,1.4917571544647217,9,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[5 9 8 3 1 4 7 6 2 0],7306.0,1.9843285083770752,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
100,100,0.2,0.1,[8 7 1 6 9 5 3 2 0 4],5583.0,1.4863243103027344,30,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,tournament,cx,swap
100,100,0.2,0.1,[8 7 1 6 9 5 3 2 0 4],5583.0,1.9527978897094727,20,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'swap'}",simple,roulette,cx,swap
